Section_EN;SubSection_EN;Section_PL;SubSection_PL;Product_EN;Product_PL;Product_CHI;Price
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;FRESH TOFU;ŚWIEŻE TOFU;;22ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; TOFU SKIN SLICES; SKÓRKA TOFU W PASKACH;; 18ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; FRIED TOFU; TOFU SMAŻONE;; 18ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; TOFU SKIN; SKÓRA TOFU;;22ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; QUAIL EGGS; JAJKA PRZEPIÓRCZE;;25ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; RICE CAKES; KLUSKI RYŻOWE;;24ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; CHINESE DOUGHSTICKS; SMAZONE PALUSZKI Z CIASTA;; 18ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; KONJAC NOODLES; MAKARON KONJAC;; 18ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; HANDMADE NOODLES; MAKARON RĘCZNY;; 20ZŁ
INGREDIENTS;TOFU AND LOCAL SPECIALTIES;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI; WIDE NOODLES; SZEROKI MAKARON ;;18 zł
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;N/A;N/A;;N/A
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;BEEF MEATBALLS;PULPETY WOŁOWE;; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY; FISH MEATBALLS WITH ROE; PULPETY RYBNE Z IKRA;; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY; SQUID MEATBALLS; PULPTY Z KALMARÓW;; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY; TOFU POUCH WITH CRAB; WOREK SZCZĘŚCIA;; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY; MINI SAUSAGES; MINI PARÓWKI;; 22ZŁ
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY;N/A;N/A;;N/A
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY;WHEAT NOODLES; MAKARON PSZENNY ;;20 PLN
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY; KONJAC NOODLES;MAKARON KONJAC;; 18 PLN
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY; RICE NOODLES; KLUSKI RYŻOWE;; 24 PLN
SETS;N/A;ZESTAWY;N/A;N/A;N/A;;N/A
SETS;N/A;ZESTAWY;N/A;SET FOR TWO;ZESTAW DLA DWOJGA;;168ZŁ
DRINKS;N/A;NAPOJE;N/A;N/A;N/A;;N/A
DRINKS;N/A;NAPOJE;N/A;PEPSI/PEPSI MAX;PEPSI/PEPSI MAX;;8 PLN/10 PLN
DRINKS;N/A;NAPOJE;N/A;MIRINDA;MIRINDA;;8 PLN/10 PLN
DRINKS;N/A;NAPOJE;N/A;7UP;7UP;;8 PLN/10 PLN
DRINKS;N/A;NAPOJE;N/A;LIPTON;LIPTON;;8 PLN/10 PLN
DRINKS;N/A;NAPOJE;N/A;TOMA JUICE;TOMA JUICE;;8 PLN/18 PLN
DRINKS;N/A;NAPOJE;N/A;HOMEMADE LEMONADE;DOMOWA LEMONIADA;;16 PLN/25 PLN
DRINKS;N/A;NAPOJE;N/A;BASIL SEEDS JUICE;SOK Z PESTKAMI BAZYLII;;16 PLN
DRINKS;N/A;NAPOJE;N/A;WATER;WODA;;8 PLN/16 PLN
DRINKS;N/A;NAPOJE;N/A;BUBBLE TEA;BUBBLE TEA;;16 PLN
DRINKS;N/A;NAPOJE;N/A;GUAVA JUICE;SOK Z GUAWY;;16 PLN
