Section_EN;SubSection_EN;Section_PL;SubSection_PL;Product_EN;Product_PL;Product_CHI;Price
INGREDIENTS;TOFU;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; SKÓRKA TOFU W PASKACH;千张; 18ZŁ
INGREDIENTS;TOFU;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; TOFU SMAŻONE;豆腐泡; 18ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; SKÓRA TOFU;腐竹;22ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; JAJKA PRZEPIÓRCZE;鹌鹑蛋;25ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; KLUSKI RYŻOWE;年糕;24ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; SMAZONE PALUSZKI Z CIASTA;油条; 18ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; MAKARON KONJAC;魔芋结; 18ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; MAKARON RĘCZNY;面条; 20ZŁ
INGREDIENTS;;SKŁADNIKI;TOFU I LOKALNE SMAKOŁYKI;; SZEROKI MAKARON ;宽粉;18 zł
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;N/A;N/A;N/A;N/A
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;BEEF MEATBALLS;PULPETY WOŁOWE;牛肉丸; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;; PULPETY RYBNE Z IKRA;鱼籽丸; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;; PULPTY Z KALMARÓW;墨鱼丸; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY;; WOREK SZCZĘŚCIA;福袋; 36ZŁ
INGREDIENTS;MEATBALLS;SKŁADNIKI;PULPETY; FISH MEATBALLS; MINI PARÓWKI;脆皮肠; 22ZŁ
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY;N/A;N/A;N/A;N/A
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY;WHEAT NOODLES; MAKARON PSZENNY ;⼩⿆麵⻝;20 PLN
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY; KONJAC NOODLES;MAKARON KONJAC;蒟蒻意麵; 18 PLN
INGREDIENTS;NOODLES;SKŁADNIKI;MAKARONY; RICE NOODLES; KLUSKI RYŻOWE;粽⼦; 24 PLN
SETS;N/A;ZESTAWY;N/A;N/A;N/A;N/A;N/A
SETS;N/A;ZESTAWY;N/A;SET FOR TWO;ZESTAW DLA DWOJGA;双人套餐;168ZŁ
